City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,porto novo,6.4965,2.6036,28.9,65,91,2.46,BJ,1708711076
166,college,64.8569,-147.8028,-10.01,85,75,2.06,US,1708711076
167,heber city,40.5069,-111.4132,6.11,62,3,0.45,US,1708711076
168,kapa'a,22.0752,-159.319,21.99,76,52,6.57,US,1708710796
169,zuni pueblo,35.0725,-108.8506,6.35,21,96,2.11,US,1708711076
170,jiazi,22.8779,116.067,16.9,84,99,8.27,CN,1708711077
171,stornoway,58.2093,-6.3865,3.35,88,20,1.03,GB,1708711077
172,cidreira,-30.1811,-50.2056,28.0,66,79,2.87,BR,1708711077
173,lazaro cardenas,17.9583,-102.2,28.06,58,30,2.64,MX,1708711077
174,port alfred,-33.5906,26.891,23.43,93,51,2.68,ZA,1708711077
175,sinabang,2.4803,96.3801,26.49,84,83,1.06,ID,1708711077
176,talnakh,69.4865,88.3972,-18.22,97,100,4.46,RU,1708711077
177,hami,42.8,93.45,-4.59,57,36,2.16,CN,1708711078
178,istmina,5.1605,-76.684,32.33,54,98,1.48,CO,1708711078
179,anna regina,7.2644,-58.5077,29.17,64,8,4.29,GY,1708711078
180,tolanaro,-25.0319,46.9987,26.04,83,20,8.23,MG,1708711078
181,neyshabur,36.2133,58.7958,7.62,41,22,0.69,IR,1708711078
182,cabo san lucas,22.8909,-109.9124,25.9,63,100,2.26,MX,1708710961
183,kalabo,-14.97,22.6814,26.07,32,40,2.44,ZM,1708711079
184,qalat,32.1058,66.9083,4.12,37,0,2.64,AF,1708711079
185,nar'yan-mar,67.6713,53.087,-1.05,94,100,7.6,RU,1708711079
186,magadan,59.5667,150.8,-25.02,85,87,3.31,RU,1708711079
187,cruz del eje,-30.7264,-64.8039,23.95,61,97,4.31,AR,1708711079
188,ventspils,57.3894,21.5606,4.96,87,0,4.63,LV,1708711079
189,kashgar,39.4547,75.9797,-1.44,59,40,1.0,CN,1708711080
190,mirnyy,62.5353,113.9611,-28.0,100,100,1.55,RU,1708711080
191,sangueya,10.7,-14.3667,31.22,43,65,5.25,GN,1708711080
192,chabahar,25.2919,60.643,22.36,60,0,3.88,IR,1708711080
193,campo largo,-25.4586,-49.5283,27.79,52,22,0.97,BR,1708711080
194,christchurch,-43.5333,172.6333,15.11,90,100,3.09,NZ,1708710305
195,inhambane,-23.865,35.3833,28.99,70,20,3.13,MZ,1708711081
196,nanma,36.1817,118.1583,-5.56,87,100,1.61,CN,1708711081
197,roccella ionica,38.322,16.4009,13.85,86,98,8.28,IT,1708711081
198,aswan,24.0934,32.907,28.61,17,0,4.63,EG,1708711081
199,hithadhoo,-0.6,73.0833,28.32,79,96,4.58,MV,1708711081
200,taltal,-25.4,-70.4833,23.12,68,6,2.67,CL,1708711082
201,thames,-37.1333,175.5333,13.68,94,2,0.74,NZ,1708711082
202,sonoita,31.85,-112.8333,19.88,30,100,3.41,MX,1708711082
203,da nang,16.0678,108.2208,24.99,88,75,2.57,VN,1708711082
